id,id_category,name,id_brand
330,26,HOBBS Fresh Air Pro RHDH1101B Portable Dehumidifier & Air Purifier,6
331,26,Bora DXDH02UK Smart Dehumidifier,99
332,26,C10DH19 Dehumidifier,82
333,26,+ DECKER BXEH60002GB Portable Dehumidifier with Air Purifier - White,97
334,26,COL1471 Dehumidifier,96
335,26,HOBBS Fresh Air Pro Portable Dehumidifier & Air Purifier,6
336,26,DD8L Zambezi Desiccant Dehumidifier,94
337,26,DD8L Junior Desiccant Dehumidifier,94
338,26,ZDH1802 Portable Dehumidifier,95
339,28,ICD-PX240 Digital Voice Recorder - Black,17
340,28,V415121SE000 Digital Voice Recorder,103
341,28,V415131BE000 Digital Voice Recorder,103
342,28,ICD-PX470 Digital Voice Recorder,17
343,28,ICDBX140 Digital Voice Recorder - Silver,17
344,28,V414141SE050 Digital Voice Recorder,103
345,28,LS-P1 Digital Voice Recorder,103
346,29,DW60M5050FW Full-size Dishwasher - White,107
347,29,Serie 2 SMS2ITW08G Full-size WiFi-enabled Dishwasher - White,105
348,29,DW60M5050FS/EU Full-size Dishwasher  Stainless Steel,107
349,29,Serie 2 SGS2ITW08G Full-size Dishwasher - White,105
350,29,KDW60W20 Full-size Dishwasher - White,83
351,29,DVN04X20W Full-size Dishwasher - White,81
352,29,KID45S20 Slimline Fully Integrated Dishwasher,83
353,29,CUE CDW45W20 Slimline Dishwasher - White,82
354,29,KDW45W20 Slimline Dishwasher - White,83
355,29,KDW45X20 Slimline Dishwasher - Inox,83
356,29,KDW60S20 Full-size Dishwasher - Silver,83
357,29,KDW60X20 Full-size Dishwasher - Inox,83
358,29,CUE CDWTT20 Table Top Dishwasher - White,82
359,29,Serie 4 SGV4HAX40G Full-size Fully Integrated Dishwasher,105
360,29,DIE 2B19 UK Full-size Fully Integrated Dishwasher,109
361,29,QW-NI14I47EX-EN Full-size Integrated Dishwasher,106
362,29,DVS04X20W Slimline Dishwasher - White,81
363,29,LID45W20 Slimline Fully Integrated Dishwasher,10
364,29,Serie 4 SGV4HCX40G Fully Integrated Dishwasher,105
365,29,DIS15020 Slimline Fully Integrated Dishwasher,81
366,30,Online Tutorial Service - 1 year,112
367,31,16772 Velvety Sherpa Electric Overblanket - Single,113
368,31,SEB-40W1PKB Electric Underblanket - Single,117
369,31,Cosy HD 75 Heating Blanket - Taupe,115
370,31,HOBBS RHEDB6002 Electric Underblanket - Double,6
371,31,Scandi 16698 Electric Underblanket - Super King-size,113
372,31,Boutique Hotel 16702 Heated Mattress Protector - King-size,113
373,31,HOBBS RHESB6001 Electric Underblanket - Single,6
374,31,HEA1486 Heating Blanket - Double,96
375,31,HOBBS RHEKB6003 Electric Underblanket - King-size,6
376,31,Cosy HD 75 Heating Blanket - White,115
377,31,HOBBS RHESB8001 Electric Blanket - Single,6
378,31,Zebra 16711 Electric Blanket - Single,113
379,31,Starlight Express 16567 Electric Underblanket - King-size,113
380,31,HOBBS RHEDB8002 Electric Underblanket - Double,6
381,31,Starlight Express 16568 Electric Underblanket - Super King-size,113
382,31,HOBBS RHEKB8003 Electric Blanket - Kingsize,6
383,31,Boutique Hotel 16703 Heated Mattress Protector - Super King-size,113
384,31,KEB-90W1PKB Electric Blanket - Kingsize,117
385,31,DEB-70W1PKB Electric Underblanket - Double,117
386,31,16708 Relaxwell Luxury Heated Throw - Large,113
387,32,B Smart 4 4000N Electric Toothbrush,119
388,32,B Vitality Stages Kids Electric Toothbrush - Disney Cars,119
389,32,B CrossAction Pro 3 3000 Electric Toothbrush,119
390,32,B Vitality Plus 3D White Electric Toothbrush - Pink,119
391,32,B Oral-B Smart 4 4000W Electric Toothbrush,119
392,32,B Pro 3 3000 Electric Toothbrush - Pink,119
393,32,Sonicare ExpertClean 7300 Electric Toothbrush - White Silver,4
394,32,Sonicare HX3806/31 Cordless Water Flosser,4
395,32,Sonicare ExpertClean 7300 Electric Toothbrush - Black,4
396,32,B Genius Pro 8000 Electric Toothbrush,119
397,32,WP-560UK Cordless Advanced Water Flosser - White,120
398,32,B Special Edition iO 8 Electric Toothbrush,119
399,32,B Pro 3 3500 Electric Toothbrush,119
400,32,B CrossAction Replacement Toothbrush Head  Pack of 4,119
401,32,B Pro 3 3900 Electric Toothbrush - Twin Pack,119
402,32,B CrossAction CleanMaximiser Toothbrush Head  Pack of 4,119
403,32,WP-562UK Cordless Advanced Water Flosser - Black,120
404,32,Sonicare W Optimal White Standard Sonic Toothbrush Head - Pack of 4,4
405,32,B Pro 3 3500 Electric Toothbrush,119
406,32,B Genius X Electric Toothbrush - Black,119
407,33,Scooter Inner Tube,129
408,33,PPS240W01 Universal Portable Power Station,126
409,33,NINEBOT Universal Phone Holder - Black,127
410,33,Portable Smart Tyre Pump,129
411,33,NINEBOT Pass Lock,127
412,33,YD-50 Protection Pads Set,122
413,33,BH51TSB Interactive Smart Helmet - Black,128
414,33,Inner Tyre Sealant - 240 ml,124
415,33,Xiaomi Scooter Inner Tube,129
416,33,SAFETY Shark Bicycle Helmet - Grey,123
417,33,SAFETY Dragon Bicycle Helmet - Red,123
418,33,260303 Replacement Scooter Tyre,129
419,33,260594 Electric Scooter Charger,129
420,33,BH51MSB Interactive Smart Helmet - Black,128
421,33,Powerstation Go Rugged Compact Portable Power Bank - Black,125
422,33,Plixi Fit Folding Helmet - Small / Medium,121
