id_parameter,name,unit
907,Compatible with Mi Home App,
908,No hub required,
909,Now includes hot water control,
910,Compatible with iOS & Android,
912,Add-on for Energenie Mi Home Gateway,
913,Set schedules & timers,
914,Temperature sensor,
915,Includes thermostat / hub / receiver,
916,Add-on for TCP Smart Radiator Valve Kit,
917,Works with Apple HomeKit,
918,Control your heating and hot water from your smartphone,
919,Includes radiator valve / hub,
920,Manage all zones and settings within the tadou00b0 app,
921,Includes thermostat / bridge,
922,Responds to your touch,
923,Works with Apple HomeKit / Amazon Alexa / Google Assistant / IFTTT,
924,Works with Google Assistant,
925,Learns your heating preferences and creates custom heating schedules,
926,Adapts to your needs with automatic heating control & schedules,
927,Add-on for Netatmo Smart Thermostat or Starter Pack,
928,Features a new larger and sharper display,
929,Smartphone controllable thermostat,
930,Energy savings report,
931,Control your homeu2019s heating from your smartphone or tablet,
932,Requires Hive Hub,
933,Open window detection,
934,Easy self-installation,
935,Control your homeu2019s heating,
936,Works with Amazon Alexa / Google Assistant / IFTTT,
937,Battery powered,
938,Includes thermostat / receiver,
939,Individual radiator control for maximum comfort,
940,Set daily heating schedules,
941,Set schedules,
942,Add-on for tadou00b0 Smart Thermostat Starter Kit,
943,Flexible cooking zones,
944,5.2 x 58 x 51 cm (H x W x D),
945,5.5 x 58 x 51 cm (H x W x D),
946,Precise power selection,
948,4.3 x 58 x 51 cm (H x W x D),
949,Front-mounted touch controls,
950,4 x 58 x 51 cm (H x W x D),
951,4 burners including wok burner,
953,7.5 x 59 x 52 mm (H x W x D),
954,5.7 x 59 x 52 cm (H x W x D),
955,5.5 x 59 x 52 cm (H x W x D),
956,7.1 x 58 x 51 cm (H x W x D),
957,4.4 x 59 x 52 cm (H x W x D),
958,Automatic ignition,
959,4.5 x 59.2 x 52.2 cm (H x W x D),
960,4 burners,
961,3.8 x 59 x 52 cm (H x W x D),
962,4 zones,
963,5.2 x 57.5 x 50.5 cm (H x W x D),
964,5.1 x 59.2 x 52.2 cm (H x W x D),
965,Dial controls,
966,Boost function,
968,6 x 59 x 52 cm (H x W x D),
969,Cast-iron pan supports,
971,4 x 59.5 x 51 cm (H x W x D),
976,Suitable for 8K@60 / 4K@120 Hz / HDR,
977,Amplify digital signals 14x by 23 dB,
982,Suitable for 4K Ultra HD at 120 Hz,
984,HDMI inputs x 3,
986,Low levels of data loss,
988,Up to 3.4 Gbps,
989,Integrated 4G filter removes interference,
990,Resolution supported:,
991,Sends an aerial signal for up to six TVs at once,
994,"USB port for charging smartphone, tablets and other devices",
995,Improved reception and channel availability,
996,Up to 48 Gbps,
997,Optical,
998,Wired subwoofer,
999,Bluetooth,
1000,HDMI,
1001,330 W,
1002,40 W,
1003,Compatible with other Bose speakers / Chromecast / AirPlay / Spotify Connect,
1004,Optical / Coaxial,
1005,Compatible with SONOS multi-room,
